y_true,y_pred
-0.06767678,0.04986676
-0.034234904,-0.05061052
-0.064729,-0.05490891
-0.0361817,-0.09967739
-0.14247859,-0.07927909
-0.13524678,-0.1382716
-0.17687918,-0.13258877
-0.10963927,-0.15594691
-0.05095989,-0.13696012
-0.06127687,-0.12072929
-0.05138415,-0.079696216
-0.14550331,-0.04033652
-0.1812903,-0.108587824
-0.17355537,-0.11138395
-0.1433515,-0.12298428
-0.058509532,-0.13450804
-0.0063601485,-0.100002445
-0.03195932,-0.006949313
-0.0051513817,-0.022055537
-0.0011472568,0.028147653
-0.027004372,0.016087033
-0.0064798077,-0.026943803
-0.0069185784,-0.02141206
-0.08223615,-0.009289533
-0.15833281,-0.079987474
-0.16966347,-0.10988972
-0.04037059,-0.08904586
-0.0084727835,-0.03775435
-0.12464742,-0.017704234
-0.13663839,-0.12811714
-0.14527974,-0.1621755
-0.2495835,-0.17538461
-0.2324302,-0.27148518
-0.26657286,-0.29458287
-0.24561223,-0.25963885
-0.16881599,-0.2311075
-0.22010021,-0.17755651
-0.1939448,-0.21380389
-0.17471083,-0.19268969
-0.124915786,-0.18066013
-0.12748761,-0.12383673
-0.19977508,-0.12740624
-0.2715926,-0.14261368
-0.14565022,-0.1942417
-0.15965866,-0.12535346
-0.18995444,-0.17669305
-0.18340626,-0.22061092
-0.20061082,-0.22382998
-0.20403051,-0.24515262
-0.14922267,-0.2611474
-0.21724412,-0.19561723
-0.22395413,-0.26779574
-0.3816736,-0.29061455
-0.3295864,-0.458108
-0.35250542,-0.42219734
-0.38592717,-0.44815904
-0.3313722,-0.45589012
-0.26583812,-0.37485892
-0.25488746,-0.24083358
-0.124878846,-0.2439509
-0.15113398,-0.13941267
-0.13012563,-0.14147255
-0.03225196,-0.13560402
-0.048266236,-0.026238553
-0.109626874,-0.011950009
-0.09525735,-0.05336059
-0.12084841,-0.00871551
-0.020448558,-0.03871925
-0.0075044814,-0.04450775
-0.061390955,-0.0216991
-0.025735293,-0.078224055
-0.050554287,-0.07424732
-0.21433541,-0.0736511
-0.2718393,-0.2461623
-0.20996337,-0.36591092
-0.26379076,-0.23883444
-0.22615612,-0.35774595
-0.24702063,-0.3349989
-0.26359436,-0.2780444
-0.24150634,-0.2702678
-0.23528877,-0.3206635
-0.1822274,-0.24473315
-0.036950193,-0.22074035
-0.059119944,-0.05766005
-0.014295072,0.01289162
-0.016102789,0.037746616
-0.0091215605,0.089171834
0.1456981,0.1228576
0.19732486,0.1544474
0.09769311,0.16119218
0.1908701,0.15174267
0.14941174,0.1889272
0.111999184,0.17215523
0.13134058,0.13675435
0.33518922,0.13206273
0.3934653,0.28908762
0.45759198,0.3403445
0.4220686,0.3910886
0.37375444,0.41546038
0.36397558,0.41526836
0.3503717,0.3843639
0.34074134,0.37133488
0.33858493,0.35773954
0.35269085,0.33928502
0.37054527,0.36047024
0.31557578,0.372849
0.38080925,0.31260556
0.39050847,0.3329594
0.37377864,0.3074465
0.13678282,0.2528181
0.10573578,0.079456516
0.038074814,0.094443664
-0.027034977,0.031280756
-0.07714295,-0.004583426
-0.027733224,-0.06374366
0.05567733,-0.030258745
0.106545605,0.037496105
0.0942071,0.08022529
0.038223438,0.07102756
-0.032297492,0.05573497
0.005590287,0.015159287
-0.058893442,-0.011871673
-0.060677763,-0.064020015
-0.08948523,-0.06461697
-0.043675642,-0.0683899
-0.06296255,-0.039377123
-0.06965788,-0.05361945
